% Model,electrode_in_salt.mph,
% Version,COMSOL 6.4.0.293,
% Date,"Dec 17 2025, 11:31",
% Dimension,2,
% Nodes,505,
% Expressions,1,
% Description,"Molar concentration, cMgOH",
% Length unit,m,
% r,z,cMgOH (mol/m^3)
0.001248206,0.009141519,NaN
2.45E-18,0.01,NaN
2.04E-18,0.008333333,NaN
2.04E-18,0.008333333,NaN
0.001243169,0.007472633,NaN
0.001248206,0.009141519,NaN
0.002507265,0.006615108,NaN
0.001243169,0.007472633,NaN
0.001241537,0.005805512,NaN
0.001241537,0.005805512,NaN
0.002485598,0.004897989,NaN
0.002507265,0.006615108,NaN
0.003894726,0.001143431,NaN
0.003759887,0.00252959,NaN
0.002509506,0.001404123,NaN
0.003759887,0.00252959,NaN
0.002473846,0.003198722,NaN
0.002509506,0.001404123,NaN
0.003894726,0.001143431,NaN
0.005,-1.22E-18,NaN
0.005,0.001666667,NaN
0.003894726,0.001143431,NaN
0.005,0.001666667,NaN
0.003759887,0.00252959,NaN
0.002473846,0.003198722,NaN
0.003759887,0.00252959,NaN
0.003748203,0.004126182,NaN
0.003748203,0.004126182,NaN
0.002485598,0.004897989,NaN
0.002473846,0.003198722,NaN
0.002485598,0.004897989,NaN
0.003748203,0.004126182,NaN
0.003758424,0.005794829,NaN
0.003758424,0.005794829,NaN
0.002507265,0.006615108,NaN
0.002485598,0.004897989,NaN
0.001251264,0.010817355,NaN
2.86E-18,0.011666667,NaN
2.45E-18,0.01,NaN
2.45E-18,0.01,NaN
0.001248206,0.009141519,NaN
0.001251264,0.010817355,NaN
0.001251023,0.012494331,NaN
3.27E-18,0.013333333,NaN
2.86E-18,0.011666667,NaN
2.86E-18,0.011666667,NaN
0.001251264,0.010817355,NaN
0.001251023,0.012494331,NaN
0.002489106,0.00829802,NaN
0.001248206,0.009141519,NaN
0.001243169,0.007472633,NaN
0.001243169,0.007472633,NaN
0.002507265,0.006615108,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.001251264,0.010817355,NaN
0.001248206,0.009141519,NaN
0.001248206,0.009141519,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.002507265,0.006615108,NaN
0.003758424,0.005794829,NaN
0.003750125,0.007475631,NaN
0.003750125,0.007475631,NaN
0.002489106,0.00829802,NaN
0.002507265,0.006615108,NaN
0.003759887,0.00252959,NaN
0.005,0.001666667,NaN
0.005,0.003333333,NaN
0.005,0.003333333,NaN
0.003748203,0.004126182,NaN
0.003759887,0.00252959,NaN
0.003748203,0.004126182,NaN
0.005,0.003333333,NaN
0.005,0.005,NaN
0.005,0.005,NaN
0.003758424,0.005794829,NaN
0.003748203,0.004126182,NaN
0.003758424,0.005794829,NaN
0.005,0.005,NaN
0.005,0.006666667,NaN
0.005,0.006666667,NaN
0.003750125,0.007475631,NaN
0.003758424,0.005794829,NaN
0.001248962,0.014170864,NaN
3.67E-18,0.015,NaN
3.27E-18,0.013333333,NaN
3.27E-18,0.013333333,NaN
0.001251023,0.012494331,NaN
0.001248962,0.014170864,NaN
0.001241356,0.015850541,NaN
4.08E-18,0.016666667,NaN
3.67E-18,0.015,NaN
3.67E-18,0.015,NaN
0.001248962,0.014170864,NaN
0.001241356,0.015850541,NaN
0.002502358,0.011652294,NaN
0.001251023,0.012494331,NaN
0.001251264,0.010817355,NaN
0.001251264,0.010817355,NaN
0.002500277,0.009972694,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.001248962,0.014170864,NaN
0.001251023,0.012494331,NaN
0.001251023,0.012494331,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.002489106,0.00829802,NaN
0.003750125,0.007475631,NaN
0.003748678,0.009148113,NaN
0.003748678,0.009148113,NaN
0.002500277,0.009972694,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.003748678,0.009148113,NaN
0.003752139,0.0108192,NaN
0.003752139,0.0108192,NaN
0.002502358,0.011652294,NaN
0.002500277,0.009972694,NaN
0.003750125,0.007475631,NaN
0.005,0.006666667,NaN
0.005,0.008333333,NaN
0.005,0.008333333,NaN
0.003748678,0.009148113,NaN
0.003750125,0.007475631,NaN
0.002498049,0.01501851,NaN
0.001241356,0.015850541,NaN
0.001248962,0.014170864,NaN
0.001248962,0.014170864,NaN
0.002501192,0.013332421,NaN
0.002498049,0.01501851,NaN
0.001211331,0.017505329,NaN
4.49E-18,0.018333333,NaN
4.08E-18,0.016666667,NaN
4.08E-18,0.016666667,NaN
0.001241356,0.015850541,NaN
0.001211331,0.017505329,NaN
0.001075689,0.018882152,NaN
4.49E-18,0.018333333,NaN
0.001211331,0.017505329,NaN
0.001075689,0.018882152,NaN
4.90E-18,0.02,NaN
4.49E-18,0.018333333,NaN
0.002487755,0.016744946,NaN
0.001211331,0.017505329,NaN
0.001241356,0.015850541,NaN
0.001241356,0.015850541,NaN
0.002498049,0.01501851,NaN
0.002487755,0.016744946,NaN
0.002502358,0.011652294,NaN
0.003752139,0.0108192,NaN
0.0037531,0.012492556,NaN
0.0037531,0.012492556,NaN
0.002501192,0.013332421,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.0037531,0.012492556,NaN
0.003752839,0.014168274,NaN
0.003752839,0.014168274,NaN
0.002498049,0.01501851,NaN
0.002501192,0.013332421,NaN
0.003748678,0.009148113,NaN
0.005,0.008333333,NaN
0.005,0.01,NaN
0.005,0.01,NaN
0.003752139,0.0108192,NaN
0.003748678,0.009148113,NaN
0.003752139,0.0108192,NaN
0.005,0.01,NaN
0.005,0.011666667,NaN
0.005,0.011666667,NaN
0.0037531,0.012492556,NaN
0.003752139,0.0108192,NaN
0.002498049,0.01501851,NaN
0.003752839,0.014168274,NaN
0.003755409,0.015845485,NaN
0.003755409,0.015845485,NaN
0.002487755,0.016744946,NaN
0.002498049,0.01501851,NaN
0.001075689,0.018882152,NaN
0.001211331,0.017505329,NaN
0.002500447,0.018572097,NaN
0.001211331,0.017505329,NaN
0.002487755,0.016744946,NaN
0.002500447,0.018572097,NaN
0.001075689,0.018882152,NaN
0.001666667,0.02,NaN
4.90E-18,0.02,NaN
0.001075689,0.018882152,NaN
0.002500447,0.018572097,NaN
0.001666667,0.02,NaN
0.002487755,0.016744946,NaN
0.003755409,0.015845485,NaN
0.003777649,0.01750752,NaN
0.003777649,0.01750752,NaN
0.002500447,0.018572097,NaN
0.002487755,0.016744946,NaN
0.0037531,0.012492556,NaN
0.005,0.011666667,NaN
0.005,0.013333333,NaN
0.005,0.013333333,NaN
0.003752839,0.014168274,NaN
0.0037531,0.012492556,NaN
0.003752839,0.014168274,NaN
0.005,0.013333333,NaN
0.005,0.015,NaN
0.005,0.015,NaN
0.003755409,0.015845485,NaN
0.003752839,0.014168274,NaN
0.003755409,0.015845485,NaN
0.005,0.015,NaN
0.005,0.016666667,NaN
0.005,0.016666667,NaN
0.003777649,0.01750752,NaN
0.003755409,0.015845485,NaN
0.003922286,0.01888259,NaN
0.002500447,0.018572097,NaN
0.003777649,0.01750752,NaN
0.002500447,0.018572097,NaN
0.003333333,0.02,NaN
0.001666667,0.02,NaN
0.003922286,0.01888259,NaN
0.003333333,0.02,NaN
0.002500447,0.018572097,NaN
0.003777649,0.01750752,NaN
0.005,0.016666667,NaN
0.005,0.018333333,NaN
0.003922286,0.01888259,NaN
0.003777649,0.01750752,NaN
0.005,0.018333333,NaN
0.003922286,0.01888259,NaN
0.005,0.018333333,NaN
0.005,0.02,NaN
0.003922286,0.01888259,NaN
0.005,0.02,NaN
0.003333333,0.02,NaN
0.006081432,0.001128116,49.97628202
0.005,0.001666667,49.97299981
0.005,-1.22E-18,49.97300286
0.006666667,-1.63E-18,49.97782303
0.006240339,0.002504357,49.97671457
0.005,0.003333333,49.97300079
0.008333333,-2.04E-18,49.98156531
0.007500154,0.001469558,49.97979877
0.006299371,0.004137356,49.97687239
0.005,0.005,49.97300088
0.009247126,0.001329351,49.98331057
0.01,-2.45E-18,49.98462364
0.007585177,0.003278444,49.9799876
0.008734781,0.002550589,49.98235451
0.006333417,0.005798302,49.97696276
0.005,0.006666667,49.97300094
0.006335456,0.007478169,49.97696818
0.005,0.008333333,49.97300091
0.010873623,0.001347901,49.98602866
0.011666667,-2.86E-18,49.98720968
0.006335782,0.009155173,49.97696908
0.005,0.01,49.97300094
0.007672706,0.00493889,49.98018002
0.010109494,0.002682104,49.98480636
0.009170872,0.004070665,49.9831716
0.007673071,0.006614564,49.98018079
0.007670466,0.008300973,49.98017516
0.011704839,0.002727953,49.98726448
0.012512663,0.001357892,49.9883842
0.013333333,-3.27E-18,49.98945007
0.01416604,0.001352508,49.99046656
0.015,-3.67E-18,49.99142643
0.006354156,0.010836119,49.97701758
0.005,0.011666667,49.97300101
0.00635545,0.012520773,49.97702129
0.005,0.013333333,49.97300095
0.007694859,0.009995373,49.98022839
0.008981275,0.00577102,49.9828213
0.010913139,0.004112139,49.98608944
0.01021359,0.005270885,49.98497816
0.009010287,0.007427977,49.98287537
0.009021593,0.009117594,49.98289642
0.012488635,0.004149219,49.98835196
0.013331477,0.00271899,49.98944773
0.015829813,0.00134167,49.99232999
0.016666667,-4.08E-18,49.99319449
0.014988472,0.002696054,49.99141353
0.017498098,0.001330821,49.99401147
0.018333333,-4.49E-18,49.99479403
0.006367063,0.014168614,49.97705146
0.005,0.015,49.97300044
0.006322457,0.015708041,49.97693357
0.005,0.016666667,49.97300154
0.007738843,0.011678727,49.98032402
0.007881822,0.013465333,49.98063061
0.009033986,0.010799112,49.98291955
0.010302009,0.006668353,49.98512277
0.01162919,0.005669103,49.98715576
0.01034734,0.008271927,49.98519638
0.010361168,0.00996279,49.9852188
0.01335288,0.005425535,49.98947464
0.014131985,0.004061102,49.99042619
0.0166596,0.002670638,49.99318738
0.015811648,0.004033679,49.99231072
0.019165488,0.00131772,49.99553904
0.02,-4.90E-18,49.99625439
0.018329202,0.002652068,49.99479025
0.020827081,0.001281174,49.99693453
0.021666667,-5.31E-18,49.99759789
0.006495464,0.017494239,49.97738642
0.005,0.018333333,49.97300021
0.006143248,0.01892337,49.97645169
0.005,0.02,49.97300241
0.007639583,0.014985581,49.98010749
0.007595349,0.016196653,49.98001008
0.009106135,0.012437794,49.98305279
0.008720768,0.014527497,49.98232755
0.009184378,0.013677403,49.98319644
0.010499615,0.011707307,49.98544147
0.011671828,0.007420298,49.98721708
0.012835938,0.006692094,49.98881216
0.011712111,0.009039373,49.98727492
0.011764554,0.010558703,49.9873498
0.014252445,0.006784874,49.99056862
0.015010368,0.005407193,49.99143802
0.016673003,0.005361258,49.99320087
0.017481493,0.003997711,49.99399554
0.020005308,0.002642282,49.99625885
0.019165223,0.003953238,49.99553881
0.021652559,0.00250118,49.99758697
0.022472465,0.001225863,49.99821081
0.023333333,-5.72E-18,49.99884183
0.023868012,0.001080568,49.99922216
0.025,-6.12E-18,50
0.008270984,0.017378502,49.98143926
0.007554107,0.018789277,49.97991887
0.006666667,0.02,49.97782322
0.008940438,0.01584129,49.98274503
0.010271887,0.013291305,49.98507364
0.00992943,0.014653942,49.98450489
0.011441779,0.012928186,49.98688312
0.012138656,0.011877007,49.98787502
0.012891362,0.011051753,49.98888447
0.013204377,0.008180937,49.98928704
0.013015538,0.009872513,49.98904529
0.015102163,0.008060043,49.99154028
0.015904181,0.006750636,49.99240864
0.017588531,0.006665887,49.99409798
0.01825201,0.005315834,49.99471942
0.019690821,0.005208199,49.99599291
0.020869726,0.004149271,49.99696886
0.022407141,0.003733985,49.99816195
0.023527843,0.00251249,49.99898118
0.025,0.001666667,50
0.009901222,0.017275216,49.98445708
0.009139326,0.01867434,49.98311396
0.008333333,0.02,49.98156533
0.010695222,0.015872903,49.98575108
0.011469986,0.014343201,49.98692446
0.012642616,0.01328337,49.98855758
0.013452255,0.012039262,49.98959908
0.014045457,0.010818487,49.99032315
0.01443168,0.009464144,49.99077828
0.01571537,0.009284491,49.99220823
0.016797224,0.008225548,49.99332543
0.018325178,0.007842478,49.99478656
0.019328391,0.006683122,49.9956811
0.020882475,0.00590324,49.99697912
0.022284556,0.005102772,49.99806987
0.02364488,0.004255095,49.99906449
0.025,0.003333333,50
0.01157326,0.017252572,49.9870748
0.010788103,0.018631691,49.9858962
0.01,0.02,49.98462359
0.012346742,0.015857878,49.98816023
0.013135697,0.014533856,49.98919954
0.014129331,0.013271306,49.99042304
0.014981206,0.01193284,49.9914054
0.0155007,0.010550409,49.99197743
0.016887669,0.009872606,49.99341557
0.018213887,0.0092094,49.99468433
0.019565037,0.008353246,49.99588535
0.02087034,0.007493571,49.99696936
0.022264055,0.00670017,49.99805443
0.02363816,0.005872563,49.99905972
0.025,0.005,50
0.013249733,0.017255364,49.98934453
0.012457369,0.018628446,49.98830989
0.011666667,0.02,49.98720966
0.014041896,0.015893789,49.99031887
0.014894337,0.014566025,49.99130779
0.015725734,0.013191546,49.99221928
0.01670903,0.011766425,49.99323709
0.018241779,0.0108513,49.99470999
0.019571807,0.010002052,49.99589115
0.020921673,0.009148552,49.99701059
0.022272064,0.008333634,49.99806046
0.023635469,0.007510673,49.99905781
0.025,0.006666667,50
0.014946048,0.017268324,49.99136596
0.014133082,0.018631172,49.99042748
0.013333333,0.02,49.98945006
0.015763911,0.01590405,49.99225998
0.016581508,0.0146044,49.99310853
0.017109882,0.013283348,49.99363495
0.018317168,0.012516259,49.99477922
0.019613074,0.011652245,49.9959265
0.020943563,0.010819853,49.99702814
0.022292189,0.00999003,49.99807562
0.023642577,0.009166301,49.99906285
0.025,0.008333333,50
0.016635177,0.01726299,49.99316275
0.015811954,0.018635545,49.99231104
0.015,0.02,49.99142642
0.017482525,0.015827169,49.99399651
0.018301758,0.014286804,49.99476508
0.019630686,0.013255155,49.99594157
0.020970141,0.012468828,49.99704943
0.022305062,0.011651831,49.99808531
0.023648858,0.010828032,49.99906731
0.025,0.01,50
0.018252668,0.017242654,49.99472002
0.017466592,0.01862848,49.99398123
0.016666667,0.02,49.99319449
0.01902618,0.015853356,49.99541662
0.019734406,0.014628159,49.99603002
0.021017012,0.014113545,49.9970869
0.022320674,0.013312206,49.99809706
0.023655006,0.012492017,49.99907168
0.025,0.011666667,50
0.019845908,0.017261214,49.99612457
0.01909975,0.018629689,49.99548138
0.018333333,0.02,49.99479403
0.020795708,0.015837342,49.99690923
0.022321243,0.014987026,49.99809748
0.023655578,0.01415999,49.99907208
0.025,0.013333333,50
0.021198887,0.017374843,49.99723154
0.020706029,0.018627542,49.99683669
0.02,0.02,49.99625439
0.022426319,0.016643254,49.99817631
0.023690877,0.015820627,49.99909711
0.025,0.015,50
0.022430695,0.018486608,49.99817959
0.021666667,0.02,49.99759788
0.023742122,0.017466827,49.99913338
0.025,0.016666667,50
0.023904842,0.018850472,49.99924804
0.023333333,0.02,49.99884183
0.025,0.018333333,50
0.025,0.02,50
