% Model,electrode_in_salt.mph,
% Version,COMSOL 6.4.0.293,
% Date,"Dec 16 2025, 13:29",
% Dimension,2,
% Nodes,505,
% Expressions,1,
% Description,"Electrolyte current density vector, z-component",
% Length unit,m,
% r,z,tcd.Ilz (A/m^2)
0.001248206,0.009141519,NaN
2.45E-18,0.01,NaN
2.04E-18,0.008333333,NaN
2.04E-18,0.008333333,NaN
0.001243169,0.007472633,NaN
0.001248206,0.009141519,NaN
0.002507265,0.006615108,NaN
0.001243169,0.007472633,NaN
0.001241537,0.005805512,NaN
0.001241537,0.005805512,NaN
0.002485598,0.004897989,NaN
0.002507265,0.006615108,NaN
0.003894726,0.001143431,NaN
0.003759887,0.00252959,NaN
0.002509506,0.001404123,NaN
0.003759887,0.00252959,NaN
0.002473846,0.003198722,NaN
0.002509506,0.001404123,NaN
0.003894726,0.001143431,NaN
0.005,-1.22E-18,NaN
0.005,0.001666667,NaN
0.003894726,0.001143431,NaN
0.005,0.001666667,NaN
0.003759887,0.00252959,NaN
0.002473846,0.003198722,NaN
0.003759887,0.00252959,NaN
0.003748203,0.004126182,NaN
0.003748203,0.004126182,NaN
0.002485598,0.004897989,NaN
0.002473846,0.003198722,NaN
0.002485598,0.004897989,NaN
0.003748203,0.004126182,NaN
0.003758424,0.005794829,NaN
0.003758424,0.005794829,NaN
0.002507265,0.006615108,NaN
0.002485598,0.004897989,NaN
0.001251264,0.010817355,NaN
2.86E-18,0.011666667,NaN
2.45E-18,0.01,NaN
2.45E-18,0.01,NaN
0.001248206,0.009141519,NaN
0.001251264,0.010817355,NaN
0.001251023,0.012494331,NaN
3.27E-18,0.013333333,NaN
2.86E-18,0.011666667,NaN
2.86E-18,0.011666667,NaN
0.001251264,0.010817355,NaN
0.001251023,0.012494331,NaN
0.002489106,0.00829802,NaN
0.001248206,0.009141519,NaN
0.001243169,0.007472633,NaN
0.001243169,0.007472633,NaN
0.002507265,0.006615108,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.001251264,0.010817355,NaN
0.001248206,0.009141519,NaN
0.001248206,0.009141519,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.002507265,0.006615108,NaN
0.003758424,0.005794829,NaN
0.003750125,0.007475631,NaN
0.003750125,0.007475631,NaN
0.002489106,0.00829802,NaN
0.002507265,0.006615108,NaN
0.003759887,0.00252959,NaN
0.005,0.001666667,NaN
0.005,0.003333333,NaN
0.005,0.003333333,NaN
0.003748203,0.004126182,NaN
0.003759887,0.00252959,NaN
0.003748203,0.004126182,NaN
0.005,0.003333333,NaN
0.005,0.005,NaN
0.005,0.005,NaN
0.003758424,0.005794829,NaN
0.003748203,0.004126182,NaN
0.003758424,0.005794829,NaN
0.005,0.005,NaN
0.005,0.006666667,NaN
0.005,0.006666667,NaN
0.003750125,0.007475631,NaN
0.003758424,0.005794829,NaN
0.001248962,0.014170864,NaN
3.67E-18,0.015,NaN
3.27E-18,0.013333333,NaN
3.27E-18,0.013333333,NaN
0.001251023,0.012494331,NaN
0.001248962,0.014170864,NaN
0.001241356,0.015850541,NaN
4.08E-18,0.016666667,NaN
3.67E-18,0.015,NaN
3.67E-18,0.015,NaN
0.001248962,0.014170864,NaN
0.001241356,0.015850541,NaN
0.002502358,0.011652294,NaN
0.001251023,0.012494331,NaN
0.001251264,0.010817355,NaN
0.001251264,0.010817355,NaN
0.002500277,0.009972694,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.001248962,0.014170864,NaN
0.001251023,0.012494331,NaN
0.001251023,0.012494331,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.002489106,0.00829802,NaN
0.003750125,0.007475631,NaN
0.003748678,0.009148113,NaN
0.003748678,0.009148113,NaN
0.002500277,0.009972694,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.003748678,0.009148113,NaN
0.003752139,0.0108192,NaN
0.003752139,0.0108192,NaN
0.002502358,0.011652294,NaN
0.002500277,0.009972694,NaN
0.003750125,0.007475631,NaN
0.005,0.006666667,NaN
0.005,0.008333333,NaN
0.005,0.008333333,NaN
0.003748678,0.009148113,NaN
0.003750125,0.007475631,NaN
0.002498049,0.01501851,NaN
0.001241356,0.015850541,NaN
0.001248962,0.014170864,NaN
0.001248962,0.014170864,NaN
0.002501192,0.013332421,NaN
0.002498049,0.01501851,NaN
0.001211331,0.017505329,NaN
4.49E-18,0.018333333,NaN
4.08E-18,0.016666667,NaN
4.08E-18,0.016666667,NaN
0.001241356,0.015850541,NaN
0.001211331,0.017505329,NaN
0.001075689,0.018882152,NaN
4.49E-18,0.018333333,NaN
0.001211331,0.017505329,NaN
0.001075689,0.018882152,NaN
4.90E-18,0.02,NaN
4.49E-18,0.018333333,NaN
0.002487755,0.016744946,NaN
0.001211331,0.017505329,NaN
0.001241356,0.015850541,NaN
0.001241356,0.015850541,NaN
0.002498049,0.01501851,NaN
0.002487755,0.016744946,NaN
0.002502358,0.011652294,NaN
0.003752139,0.0108192,NaN
0.0037531,0.012492556,NaN
0.0037531,0.012492556,NaN
0.002501192,0.013332421,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.0037531,0.012492556,NaN
0.003752839,0.014168274,NaN
0.003752839,0.014168274,NaN
0.002498049,0.01501851,NaN
0.002501192,0.013332421,NaN
0.003748678,0.009148113,NaN
0.005,0.008333333,NaN
0.005,0.01,NaN
0.005,0.01,NaN
0.003752139,0.0108192,NaN
0.003748678,0.009148113,NaN
0.003752139,0.0108192,NaN
0.005,0.01,NaN
0.005,0.011666667,NaN
0.005,0.011666667,NaN
0.0037531,0.012492556,NaN
0.003752139,0.0108192,NaN
0.002498049,0.01501851,NaN
0.003752839,0.014168274,NaN
0.003755409,0.015845485,NaN
0.003755409,0.015845485,NaN
0.002487755,0.016744946,NaN
0.002498049,0.01501851,NaN
0.001075689,0.018882152,NaN
0.001211331,0.017505329,NaN
0.002500447,0.018572097,NaN
0.001211331,0.017505329,NaN
0.002487755,0.016744946,NaN
0.002500447,0.018572097,NaN
0.001075689,0.018882152,NaN
0.001666667,0.02,NaN
4.90E-18,0.02,NaN
0.001075689,0.018882152,NaN
0.002500447,0.018572097,NaN
0.001666667,0.02,NaN
0.002487755,0.016744946,NaN
0.003755409,0.015845485,NaN
0.003777649,0.01750752,NaN
0.003777649,0.01750752,NaN
0.002500447,0.018572097,NaN
0.002487755,0.016744946,NaN
0.0037531,0.012492556,NaN
0.005,0.011666667,NaN
0.005,0.013333333,NaN
0.005,0.013333333,NaN
0.003752839,0.014168274,NaN
0.0037531,0.012492556,NaN
0.003752839,0.014168274,NaN
0.005,0.013333333,NaN
0.005,0.015,NaN
0.005,0.015,NaN
0.003755409,0.015845485,NaN
0.003752839,0.014168274,NaN
0.003755409,0.015845485,NaN
0.005,0.015,NaN
0.005,0.016666667,NaN
0.005,0.016666667,NaN
0.003777649,0.01750752,NaN
0.003755409,0.015845485,NaN
0.003922286,0.01888259,NaN
0.002500447,0.018572097,NaN
0.003777649,0.01750752,NaN
0.002500447,0.018572097,NaN
0.003333333,0.02,NaN
0.001666667,0.02,NaN
0.003922286,0.01888259,NaN
0.003333333,0.02,NaN
0.002500447,0.018572097,NaN
0.003777649,0.01750752,NaN
0.005,0.016666667,NaN
0.005,0.018333333,NaN
0.003922286,0.01888259,NaN
0.003777649,0.01750752,NaN
0.005,0.018333333,NaN
0.003922286,0.01888259,NaN
0.005,0.018333333,NaN
0.005,0.02,NaN
0.003922286,0.01888259,NaN
0.005,0.02,NaN
0.003333333,0.02,NaN
0.006081432,0.001128116,-3.15E-04
0.005,0.001666667,-2.61E-04
0.005,-1.22E-18,0.002527787
0.006666667,-1.63E-18,-0.00109584
0.006240339,0.002504357,2.71E-04
0.005,0.003333333,-4.10E-04
0.008333333,-2.04E-18,-3.88E-04
0.007500154,0.001469558,3.29E-04
0.006299371,0.004137356,7.76E-05
0.005,0.005,-1.86E-04
0.009247126,0.001329351,5.90E-05
0.01,-2.45E-18,-2.38E-04
0.007585177,0.003278444,-1.69E-04
0.008734781,0.002550589,-1.12E-04
0.006333417,0.005798302,5.10E-05
0.005,0.006666667,-2.62E-05
0.006335456,0.007478169,-9.44E-07
0.005,0.008333333,-7.08E-06
0.010873623,0.001347901,1.73E-06
0.011666667,-2.86E-18,-1.20E-04
0.006335782,0.009155173,7.67E-07
0.005,0.01,-7.86E-05
0.007672706,0.00493889,1.82E-04
0.010109494,0.002682104,4.18E-05
0.009170872,0.004070665,9.46E-05
0.007673071,0.006614564,-1.41E-05
0.007670466,0.008300973,1.33E-05
0.011704839,0.002727953,2.92E-06
0.012512663,0.001357892,3.44E-06
0.013333333,-3.27E-18,-6.80E-05
0.01416604,0.001352508,5.55E-07
0.015,-3.67E-18,-4.19E-05
0.006354156,0.010836119,-5.02E-05
0.005,0.011666667,5.71E-06
0.00635545,0.012520773,-1.22E-04
0.005,0.013333333,-2.33E-05
0.007694859,0.009995373,4.84E-05
0.008981275,0.00577102,-1.22E-04
0.010913139,0.004112139,-3.72E-05
0.01021359,0.005270885,-5.64E-05
0.009010287,0.007427977,-4.19E-06
0.009021593,0.009117594,-2.73E-05
0.012488635,0.004149219,1.42E-05
0.013331477,0.00271899,4.46E-06
0.015829813,0.00134167,1.43E-07
0.016666667,-4.08E-18,-2.77E-05
0.014988472,0.002696054,-1.75E-06
0.017498098,0.001330821,-2.02E-07
0.018333333,-4.49E-18,-1.88E-05
0.006367063,0.014168614,3.41E-04
0.005,0.015,5.18E-05
0.006322457,0.015708041,1.24E-04
0.005,0.016666667,-4.32E-04
0.007738843,0.011678727,1.56E-04
0.007881822,0.013465333,1.57E-04
0.009033986,0.010799112,-3.31E-05
0.010302009,0.006668353,2.37E-05
0.01162919,0.005669103,8.66E-05
0.01034734,0.008271927,6.69E-06
0.010361168,0.00996279,1.86E-05
0.01335288,0.005425535,1.59E-05
0.014131985,0.004061102,-6.59E-06
0.0166596,0.002670638,3.14E-08
0.015811648,0.004033679,4.17E-07
0.019165488,0.00131772,-1.14E-06
0.02,-4.90E-18,-1.20E-05
0.018329202,0.002652068,1.47E-06
0.020827081,0.001281174,1.46E-06
0.021666667,-5.31E-18,-8.85E-06
0.006495464,0.017494239,-3.49E-04
0.005,0.018333333,0.001274489
0.006143248,0.01892337,-2.93E-05
0.005,0.02,-0.002688173
0.007639583,0.014985581,-3.63E-04
0.007595349,0.016196653,1.12E-04
0.009106135,0.012437794,1.02E-04
0.008720768,0.014527497,5.31E-05
0.009184378,0.013677403,-1.50E-04
0.010499615,0.011707307,-1.45E-05
0.011671828,0.007420298,-5.77E-05
0.012835938,0.006692094,-3.70E-05
0.011712111,0.009039373,6.88E-05
0.011764554,0.010558703,8.90E-05
0.014252445,0.006784874,2.37E-05
0.015010368,0.005407193,1.20E-06
0.016673003,0.005361258,5.15E-07
0.017481493,0.003997711,-7.99E-07
0.020005308,0.002642282,-7.12E-06
0.019165223,0.003953238,-9.33E-07
0.021652559,0.00250118,5.63E-06
0.022472465,0.001225863,-9.04E-06
0.023333333,-5.72E-18,-6.27E-06
0.023868012,0.001080568,7.76E-06
0.025,-6.12E-18,-8.87E-05
0.008270984,0.017378502,6.51E-05
0.007554107,0.018789277,-2.17E-04
0.006666667,0.02,8.71E-04
0.008940438,0.01584129,-1.03E-04
0.010271887,0.013291305,-1.96E-04
0.00992943,0.014653942,1.51E-04
0.011441779,0.012928186,-6.87E-06
0.012138656,0.011877007,-9.58E-05
0.012891362,0.011051753,-2.92E-05
0.013204377,0.008180937,1.18E-05
0.013015538,0.009872513,5.35E-07
0.015102163,0.008060043,2.02E-05
0.015904181,0.006750636,-1.10E-05
0.017588531,0.006665887,1.14E-05
0.01825201,0.005315834,-8.20E-06
0.019690821,0.005208199,7.11E-06
0.020869726,0.004149271,-1.13E-05
0.022407141,0.003733985,1.55E-05
0.023527843,0.00251249,-6.89E-06
0.025,0.001666667,2.30E-05
0.009901222,0.017275216,-2.10E-05
0.009139326,0.01867434,-2.71E-05
0.008333333,0.02,5.44E-04
0.010695222,0.015872903,4.76E-05
0.011469986,0.014343201,-2.78E-05
0.012642616,0.01328337,5.91E-05
0.013452255,0.012039262,2.73E-05
0.014045457,0.010818487,-3.73E-05
0.01443168,0.009464144,-5.80E-05
0.01571537,0.009284491,1.41E-05
0.016797224,0.008225548,-2.59E-05
0.018325178,0.007842478,2.14E-05
0.019328391,0.006683122,-1.05E-05
0.020882475,0.00590324,1.92E-05
0.022284556,0.005102772,-6.42E-06
0.02364488,0.004255095,4.21E-06
0.025,0.003333333,-7.82E-06
0.01157326,0.017252572,-3.61E-07
0.010788103,0.018631691,-1.40E-07
0.01,0.02,2.39E-04
0.012346742,0.015857878,-1.48E-05
0.013135697,0.014533856,-1.05E-05
0.014129331,0.013271306,2.15E-06
0.014981206,0.01193284,1.22E-05
0.0155007,0.010550409,-1.86E-05
0.016887669,0.009872606,1.41E-05
0.018213887,0.0092094,-9.93E-06
0.019565037,0.008353246,1.59E-05
0.02087034,0.007493571,-1.03E-05
0.022264055,0.00670017,-8.41E-07
0.02363816,0.005872563,1.49E-06
0.025,0.005,2.99E-07
0.013249733,0.017255364,-4.86E-07
0.012457369,0.018628446,2.00E-06
0.011666667,0.02,1.17E-04
0.014041896,0.015893789,4.75E-06
0.014894337,0.014566025,6.00E-06
0.015725734,0.013191546,1.03E-05
0.01670903,0.011766425,7.13E-06
0.018241779,0.0108513,1.76E-05
0.019571807,0.010002052,6.34E-07
0.020921673,0.009148552,1.03E-06
0.022272064,0.008333634,-1.11E-06
0.023635469,0.007510673,5.64E-08
0.025,0.006666667,2.09E-07
0.014946048,0.017268324,4.06E-07
0.014133082,0.018631172,8.70E-07
0.013333333,0.02,6.71E-05
0.015763911,0.01590405,-4.92E-06
0.016581508,0.0146044,-7.28E-07
0.017109882,0.013283348,-6.49E-06
0.018317168,0.012516259,-2.75E-05
0.019613074,0.011652245,-1.53E-06
0.020943563,0.010819853,-6.92E-07
0.022292189,0.00999003,-1.25E-07
0.023642577,0.009166301,-2.18E-07
0.025,0.008333333,-4.22E-07
0.016635177,0.01726299,2.54E-06
0.015811954,0.018635545,4.84E-07
0.015,0.02,4.21E-05
0.017482525,0.015827169,1.14E-05
0.018301758,0.014286804,1.49E-05
0.019630686,0.013255155,4.90E-06
0.020970141,0.012468828,1.20E-06
0.022305062,0.011651831,-3.94E-07
0.023648858,0.010828032,-5.18E-08
0.025,0.01,-4.19E-07
0.018252668,0.017242654,-1.87E-06
0.017466592,0.01862848,7.30E-07
0.016666667,0.02,2.84E-05
0.01902618,0.015853356,-6.96E-06
0.019734406,0.014628159,-1.46E-05
0.021017012,0.014113545,-1.18E-05
0.022320674,0.013312206,-1.54E-07
0.023655006,0.012492017,-2.41E-07
0.025,0.011666667,-3.98E-07
0.019845908,0.017261214,6.13E-06
0.01909975,0.018629689,-4.28E-07
0.018333333,0.02,1.85E-05
0.020795708,0.015837342,5.39E-06
0.022321243,0.014987026,1.28E-05
0.023655578,0.01415999,9.18E-07
0.025,0.013333333,-1.32E-07
0.021198887,0.017374843,-4.72E-06
0.020706029,0.018627542,2.33E-06
0.02,0.02,1.21E-05
0.022426319,0.016643254,-1.39E-05
0.023690877,0.015820627,-8.76E-09
0.025,0.015,-2.27E-06
0.022430695,0.018486608,1.03E-05
0.021666667,0.02,1.28E-05
0.023742122,0.017466827,6.28E-06
0.025,0.016666667,-3.34E-06
0.023904842,0.018850472,-1.27E-05
0.023333333,0.02,-8.47E-07
0.025,0.018333333,-8.81E-06
0.025,0.02,8.55E-05
